title,rating,actors,studio,category,aspect,format
Wall Street,R,"Michael Douglas, Chariles Sheen",Fox,Drama,Wide,DVD
National Velvet,G,"Mickey Rooney, Elisabeth Taylor",Warner,Classic,Full,DVD
"Truth About Cats & Dogs, The",PG-13,"Uma Thurman, Janeane Garafalo",Fox,Comedy,Wide,DVD
Frankenstein,R,"Robert De Niro, Kenneth Branagh",TriStar,Sci-Fi & Fantasy,Full,DVD
Men Of Honor,R,"Robert De Niro, Cuba Gooding Jr.",Fox,Drama,Full,DVD
Hook,PG,"Robin Williams, Dustin Hoffman",Tristar,Sci-Fi & Fantasy,Wide,DVD
"Mask, The",PG-13,Jim Carrey,New Line,Sci-Fi & Fantasy,Both,DVD
Lord Of The Rings - The Two Towers,PG-13,Elijah Wood,New Line,Sci-Fi & Fantasy,Full,DVD & BLU
Face Off,R,"John Travlota, Nicolas Cage",Paramount,Action & Suspense,Wide,DVD
Fiddle on the Roof,G,"Topol,",Warner,Classic,Wide,DVD
Lillies of the Field,NR,Sidney Poitier,,Classic,Wide,DVD
"Chinese Connection, The",R,Bruce Lee,,Action & Suspense,Wide,DVD
Looney Tunes Golden Collection Volume 1 (4 Disks),NR,,,Animated,Full,DVD
Schindler's List,R,"Liam Neeson, Ben Kingsley",,Drama,Wide,DVD
"Prince and the Pauper, The",NR,"Erol Flynn, Claude Raines",,Classic,Full,DVD
"Bug's Life  (Collectors Edition), A",G,"Dave Foley, Kevin Spacey",Pixar,Animated,Both,DVD
Ben Hur,G,Charlton Heston,,Classic,Wide,DVD
"Ten Commandments, The",G,Charlton Heston,,Classic,Wide,DVD
"Terminator, The",R,Arnold Schwarzennegger,,Sci-Fi & Fantasy,Full,DVD
Brother Bear,G,"Joaquin Phoenix, Jeremy Suarez",,Animated,Wide,DVD
Dave Matthews Band - Listener Supported,NR,Dave Mattews,,Concerts,,DVD
Yessongs,NR,Yes,,Concerts,,DVD
Whitney - The Greatest Hits,NR,Whitney Houston,,Concerts,,DVD
Bruce Springsteen & The E Street Band - Live in NY,NR,Bruce Springsteen,,Concerts,,DVD
"Rolling Stones - Gimme Shelter (Criterion), The",NR,The Rolling Stones,Criterion Collection,Concerts,,DVD
Woodstock,R,,,Concerts,Wide,DVD
"Matrix Revolution, The",R,"Keanu Reeves, Laurence Fishburne",,Sci-Fi & Fantasy,Full,DVD
Fantasia,G,Micky & Donald,Disney,Animated,Full,DVD
Mulan,G,"Eddie Murphy, Freda Foh Shen",Disney,Animated,Both,DVD
Stuart Little 2,PG,"Michael J. Fox, Geena Davis",Columbia/Tristar,Children,Both,DVD
Sleeping Beauty,G,,Disney,Animated,Both,DVD
West Side Story,NR,"Natalie Wood, Richard Meymer",,Classic,Full,DVD
"Ox-Bow Incident, The",PG,Henry Fonda,,Classic,Full,DVD
X 2,PG-13,Patrick Stewart,Fox,Sci-Fi & Fantasy,Wide,DVD
Only Angels Have Wings,NR,"Cary Grant, Jean Authur",Columbia,Classic,Full,DVD
Tarzan,G,"Tony Goldwyn, Minnie Driver",Disney,Animated,Wide,DVD
"Hunchback Of Notre Dame, The",G,"Tom Hulce, Demi Moore",Disney,Animated,Wide,DVD
"Mark Of Zorro, The",NR,"Tyrone Power, Basil Rathbone",,Classic,Full,DVD
"Green Mile, The",R,Tom Hanks,Warner,Drama,Wide,DVD
Anastasia (Animated),G,"Meg Ryan, John Cusack, Kelsey Grammer",,Animated,Wide,DVD
Working Girl,R,"Melanie Griffith, Harrison Ford, Sigourney Weaver",,Drama,Wide,DVD
